Pattern,Detected Text,Start Index
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Mein liebes Kind«, sagte der alte Junker vom Fenster her. »Es gibt viel schlimmere Männer …« »Das weiß ich, Papa, un",776865
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?",»Mein liebes Kind!« Der alte Junker trat näher an sie heran und dämpfte seine Stimme. »Du hast mir wahr und offenherzi,780999
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Mein liebes Kind, man fragt Eltern nicht. Eltern teilen sich von selbst mit, wenn sie es angebracht finden.« Worauf T",1561509
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","Mein liebes Maidli, daß ich nicht aus ihm klug werden kann –! Aber wenn es sagt: Frag mich nicht, Ätti, wie soll ich – ",2217686
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Meine liebe süße Mama,« rief sie unter Thränen, »was ist geschehen? hast du Nachricht vom Papa erhalten?« Frau Di",4081891
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Meine liebe kleine Erna,« sagte das junge Mädchen weich, »wir beide wollen uns recht innig lieb gewinnen und treu zu e",4121326
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Meine lieben Mädchen,« sagte sie, »ich muß eine ernstliche Sache mit euch besprechen. Herr v. Rothenburg hat dring",4239769
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","Meine liebe Rose! Gestern sind wir zu Hause angekommen, nachdem wir eine wunderschöne kleine Reise gemacht haben. So ",4308528
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","Meine liebe Tante Emma! Nun wissen Sie schon, daß unsere Erna eine glückliche Braut ist, und sind ohne Zweifel ungehe",4316422
"[»]?Mein[e]? [lL]iebe[rsn]?\s[A-Za-z]*[.!,]?","»Mein lieber Paolo! Sieh, der Herr hier will uns noch viel mehr Geld geben, so daß wir sicher bald heiraten können.« »J",4680003
